Starting time:1454185080204246
Ending time:1454185150194418
1454185080204246,0,0,-1,-2,-2,-1,-1,-1
1454185080204246,-1,0,8,-3,-3,-1,-3,-1
1454185080206246,-1,-3,1,-3,-2,0,-2,-3
1454185080206246,-1,-4,-9,2,2,0,0,0
1454185080226259,-2,-3,2,1,-1,-2,0,1
1454185080226259,1,1,-2,-2,0,1,2,0
1454185080228261,1,2,2,7,0,-3,-1,-1
1454185080228261,0,-4,1,-2,-2,-1,-1,-1
1454185080240269,-1,1,3,1,0,-3,-2,-1
1454185080240269,-3,-3,-12,-10,-1,-1,-1,-2
1454185080249275,-1,-2,2,2,1,0,-2,0
1454185080249275,-2,-2,-4,-1,0,0,-1,0
1454185080263272,-1,1,1,-2,0,-1,-1,-1
1454185080263272,-3,4,6,2,-2,-3,-1,0
1454185080270277,-5,-12,-18,-10,-4,1,-1,-3
1454185080270277,-2,1,5,3,2,-1,-1,-1
1454185080286285,1,-4,-14,-5,-4,1,0,1
1454185080286285,-2,-2,7,-2,-2,-2,-1,-2
1454185080288286,0,2,6,0,3,1,-1,-1
1454185080288286,1,1,0,-1,-1,-2,-1,1
1454185080309301,-1,-2,2,-4,-3,0,-1,-3
1454185080309301,-1,-3,-4,3,-2,-2,1,1
1454185080310301,-1,0,0,0,-2,-3,-2,-3
1454185080310301,-1,-1,2,-1,-2,-2,-1,-1
1454185080324316,-1,-2,-2,-1,-1,0,-2,-1
1454185080324316,-3,-6,-18,-6,-2,-2,-1,-2
1454185080325317,-1,0,3,4,1,-1,0,0
1454185080325317,0,2,3,0,-1,0,-1,-2
1454185080346332,0,1,-5,0,-3,-2,-1,0
1454185080346332,-3,-3,0,-4,-2,1,-1,-1
1454185080348333,-1,0,-4,-5,-2,-1,-2,-3
1454185080348333,-2,-3,-10,-2,0,0,-1,-1
1454185080369331,-2,0,5,5,0,-1,-1,1
1454185080369331,-1,1,0,-1,-1,-2,-2,0
1454185080370332,2,1,-1,1,-1,0,0,0
1454185080370332,-3,-1,4,-5,-3,-1,1,-3
1454185080384342,-1,-3,0,-3,-1,0,-2,-1
1454185080384342,-1,-2,-3,-1,-3,-3,-1,-1
1454185080385343,-1,-4,-8,-6,-3,-2,-2,0
1454185080385343,-1,0,-2,5,2,-2,1,1
1454185080414363,-2,-4,9,-1,-1,0,-2,-2
1454185080414363,-2,-3,0,3,-1,1,-2,0
1454185080415362,-1,0,-9,-5,-2,0,0,0
1454185080415362,0,2,-4,0,-3,-2,-1,-2
1454185080428653,-2,-5,-4,0,-2,-3,-2,-2
1454185080428653,1,2,4,4,3,0,-1,0
1454185080430655,-2,-2,4,-9,-4,-1,0,-1
1454185080430655,2,2,-6,5,3,2,1,0
1454185080443665,-1,1,1,1,0,-2,0,-1
1454185080443665,-1,-3,4,0,-1,1,-1,-2
1454185080457673,0,1,5,2,-2,-2,-1,1
1454185080457673,0,1,-1,-4,-2,-1,-2,0
1454185080466679,0,1,-8,-2,0,-1,-1,0
