0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,7 ,0 ,66.0
1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,1 ,65.0
2 ,0 ,1 ,3 ,7 ,0 ,1 ,1 ,0 ,9 ,22 ,9 ,1 ,64.0
3 ,1 ,3 ,2 ,7 ,6 ,1 ,1 ,1 ,18 ,40 ,8 ,1 ,64.0
4 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,65.0
5 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,8 ,0 ,65.0
6 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,10 ,2 ,62.0
7 ,2 ,0 ,5 ,4 ,1 ,0 ,1 ,1 ,8 ,22 ,10 ,0 ,64.0
8 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,9 ,1 ,66.0
9 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,3 ,63.0
10 ,1 ,1 ,4 ,4 ,3 ,2 ,0 ,1 ,16 ,32 ,12 ,0 ,63.0
11 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,63.0
12 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,12 ,0 ,65.0
13 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,13 ,1 ,65.0
14 ,4 ,3 ,1 ,3 ,1 ,1 ,0 ,1 ,4 ,18 ,15 ,2 ,64.0
15 ,1 ,7 ,6 ,1 ,1 ,1 ,1 ,1 ,11 ,30 ,14 ,1 ,63.0
16 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,63.0
17 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,14 ,0 ,63.0
18 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19 ,5 ,59.0
19 ,1 ,3 ,0 ,1 ,0 ,0 ,1 ,0 ,6 ,12 ,19 ,0 ,59.0
20 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,19 ,0 ,58.0
21 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,27 ,8 ,51.0
22 ,1 ,0 ,8 ,8 ,2 ,1 ,2 ,2 ,12 ,36 ,33 ,6 ,45.0
23 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33 ,0 ,48.0
24 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,33 ,0 ,50.0
25 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,48 ,15 ,34.0
26 ,0 ,3 ,5 ,9 ,4 ,1 ,2 ,1 ,19 ,44 ,48 ,0 ,34.0
