Starting time:1454188131890730
Ending time:1454188152066494
1454188131890730,-1,1,-1,0,-10,-1,1,-2
1454188131890730,-2,-1,-3,-7,-8,-4,-1,-1
1454188131892727,1,1,1,1,11,1,1,-2
1454188131892727,0,1,0,3,-4,1,0,0
1454188131912742,-2,-1,-3,-4,-4,-3,-2,0
1454188131912742,1,-1,-2,0,4,2,0,0
1454188131914741,0,1,0,-1,-5,-2,-1,1
1454188131914741,0,-1,-1,-1,0,-1,0,-2
1454188131926751,-1,0,0,1,-4,1,-1,-3
1454188131926751,-2,-2,-3,-2,-5,-1,-2,-2
1454188131935756,-1,-2,-2,-2,-2,-2,-1,-1
1454188131935756,-2,-1,-1,-1,-11,-2,0,1
1454188131950767,0,-2,0,2,14,-1,0,-1
1454188131950767,0,-2,1,-2,-1,-1,-2,-1
1454188131951768,-2,-2,-1,-4,-4,-3,-2,-1
1454188131951768,-2,1,0,2,-2,-2,-2,-1
1454188131972782,-3,-1,-2,-4,-8,0,-1,-2
1454188131972782,1,4,3,9,7,3,2,-1
1454188131974784,-1,-2,-4,-3,0,1,-1,-2
1454188131974784,0,0,-2,-1,-5,-3,-2,1
1454188131986793,-1,-4,-2,-2,2,-1,-1,-1
1454188131986793,-1,1,0,2,7,2,0,1
1454188131995798,-1,1,-4,-6,-7,-1,1,-1
1454188131995798,1,0,3,-2,-2,0,0,-2
1454188132010810,-1,0,0,2,-15,-4,-1,-1
1454188132010810,-2,-5,-2,-5,3,-3,-1,-2
1454188132011810,2,-2,-1,-2,-1,1,-2,-2
1454188132011810,-3,-4,-5,1,3,1,0,-2
1454188132032825,1,1,-1,0,1,-1,-2,-1
1454188132032825,-1,-2,-2,-4,-2,-1,-2,0
1454188132034827,-2,-3,-3,-4,-2,-3,-4,0
1454188132034827,0,0,3,3,3,-1,-1,0
1454188132046835,-1,-2,1,1,-4,-1,1,0
1454188132046835,-1,-2,-1,-3,-4,-2,-1,-2
1454188132055841,-1,-2,0,-1,2,0,-1,-3
1454188132055841,-1,-1,-1,-5,-2,-2,-1,-2
1454188132070852,0,2,-1,0,3,0,0,-1
1454188132070852,1,-1,-1,1,1,-1,0,1
1454188132071853,-2,-1,0,2,-11,-5,-1,-2
1454188132071853,-2,-2,-2,-7,1,-4,-2,-3
1454188132092868,-1,1,-1,-5,-4,-1,-3,-1
1454188132092868,2,2,2,3,7,4,2,1
1454188132094869,0,0,2,6,2,3,1,1
1454188132094869,-3,0,0,5,4,0,-2,-2
1454188132106877,1,-2,-1,1,2,1,1,0
1454188132106877,0,-2,-4,-6,-10,-4,-1,-3
1454188132115883,-3,-2,-2,-7,-4,-5,0,-1
1454188132115883,-1,2,-1,-6,-3,-1,1,1
1454188132130895,-3,-4,-4,3,0,-2,-3,-3
1454188132130895,-2,-2,-1,0,2,-1,-1,-2
1454188132131896,-1,-4,-3,0,-1,0,-2,-1
1454188132131896,0,-4,-1,1,-1,0,0,-3
1454188132152910,1,-1,1,1,-5,1,0,2
1454188132152910,-2,-1,-1,-2,6,-1,-1,0
1454188132154911,-1,-1,-3,-3,-1,0,0,0
1454188132154911,-1,-2,-2,-3,2,-1,0,1
1454188132166923,-1,0,-4,-6,-3,-1,-1,-2
1454188132166923,0,0,0,0,-7,-3,-1,0
1454188132175877,-1,0,-1,7,7,-1,-1,1
1454188132175877,1,3,1,3,-1,1,0,0
1454188132190453,-1,-1,-1,-5,1,-1,2,-2
1454188132190453,-1,0,1,1,-4,0,-1,1
1454188132192451,-1,1,-3,-4,-1,-3,-4,0
1454188132192451,-3,-4,-4,-3,-1,-2,-1,0
1454188132213529,0,0,0,6,3,1,-3,0
1454188132213529,1,-1,0,-1,-6,-1,0,-1
