Starting time:1454184785805187
Ending time:1454184861472356
1454184785805187,0,0,-2,0,0,-2,-1,1
1454184785805187,0,0,10,-3,-1,1,-2,-3
1454184785813192,-1,0,-10,1,-2,-2,-2,0
1454184785813192,-2,-5,-5,-2,2,1,0,-1
1454184785828202,-1,2,7,-2,-1,0,-1,0
1454184785828202,-2,-5,-21,-3,0,-3,-1,-1
1454184785829176,-1,2,9,-9,-1,-1,-1,-1
1454184785829176,1,-2,-8,4,-1,0,-1,-1
1454184785850207,-1,-1,4,-3,0,-2,0,0
1454184785850207,-1,1,3,2,0,0,-2,-3
1454184785851190,-1,-2,-6,6,0,0,-2,-2
1454184785851190,-1,1,4,1,-1,0,-1,1
1454184785865213,-1,-1,0,-3,0,0,1,-1
1454184785865213,-1,-3,0,-7,-1,-1,1,-1
1454184785873218,-1,0,0,3,0,-1,-1,0
1454184785873218,-1,5,6,-5,-3,-2,-1,-2
1454184785888229,-3,-4,-7,2,-1,-5,0,-2
1454184785888229,-4,-10,-11,-6,-2,3,-1,-2
1454184785889229,0,3,2,-1,-2,0,-3,0
1454184785889229,0,1,2,1,0,0,0,0
1454184785910249,-2,-3,-6,-4,-3,-1,-1,-2
1454184785910249,-1,-2,14,1,-1,-2,-2,-3
1454184785911250,-1,2,-5,0,0,-2,1,-2
1454184785911250,-2,-5,-4,-5,-4,-3,0,0
1454184785925259,0,0,1,0,0,0,-1,0
1454184785925259,-3,-6,-4,1,1,-1,-1,-1
1454184785933251,0,0,6,-1,-3,1,0,-1
1454184785933251,0,-1,4,0,1,1,0,-1
1454184785948272,-3,-2,-1,4,0,-1,0,-1
1454184785948272,0,3,8,-3,-1,-3,1,0
1454184785949271,1,-3,-7,-2,-2,0,-3,0
1454184785949271,0,-2,-10,-7,0,-1,0,0
1454184785970286,1,1,0,0,-3,-3,-2,-2
1454184785970286,1,-1,-6,0,0,0,1,-1
1454184785971287,-2,-1,2,1,0,-1,0,0
1454184785971287,-2,-1,6,-2,-2,-3,-3,-1
1454184785985298,-1,-3,-3,0,-1,2,-2,-2
1454184785985298,0,-2,0,0,-3,-2,-1,1
1454184785993290,0,0,-3,-2,-1,0,0,-2
1454184785993290,-1,-2,-4,2,-1,1,-1,-2
1454184786008319,0,0,-4,-3,0,-1,-1,1
1454184786008319,-3,-3,-3,-6,-3,0,-3,-3
1454184786009314,0,1,-3,1,-1,-2,-2,-2
1454184786009314,-1,-6,-3,-2,-1,-1,-2,0
1454184786030316,-2,0,0,6,0,2,1,-1
1454184786030316,-1,3,8,0,0,0,0,0
1454184786031335,-3,-2,-4,-6,-3,-2,-1,-1
1454184786031335,-1,-1,-6,-3,0,0,-2,-2
1454184786044339,0,-4,-1,-8,-3,-3,0,-1
1454184786044339,-1,-3,-1,5,0,-1,-1,-1
1454184786053337,1,-1,2,8,2,-2,0,-2
1454184786053337,-3,1,-3,-4,-1,-2,0,0
1454184786068342,-1,-2,-8,0,-3,-1,-1,-1
1454184786068342,-1,2,0,-1,0,-1,-1,-1
1454184786068342,-2,-2,-2,-1,-1,0,-2,-1
1454184786068342,-1,2,1,6,1,-2,-1,-1
1454184786090398,-1,1,2,-6,-1,-2,-1,0
1454184786090398,0,0,-8,-4,-1,-1,-1,-2
