Fist	Horns	Peace	Thumb
12.87801816	5.002859696	19.02713799	25.66181902
15.34877922	15.79594087	20.05021704	26.54233536
4.212355408	18.95424628	24.03128969	18.41900664
8.245732576	1.664523704	6.514512657	0.774707917
3.832841784	12.54135946	3.265503997	7.10050357
18.22229306	12.71036673	6.14039478	7.171110897
21.34660911	6.155465847	19.67349144	23.7816237
27.51312646	12.1019737	19.29687179	23.85823043
25.32744899	19.13936171	6.14039478	30.05109156
26.48235541	5.329690918	6.109729438	29.58526553
13.84568326	4.488357503	12.34249824	12.42515031
10.43077533	3.832997132	5.818292687	16.80748347
13.04272199	10.48600152	3.193578722	9.943037345
14.77527178	7.645591203	3.363913967	11.1396813
20.40907421	8.804863901	5.812676459	12.47540008
20.93364502	7.704762921	5.021037854	13.88491951
22.65386976	7.070498057	3.345045899	8.755300558
18.05662351	5.174337341	4.059342947	16.10450986
8.951444783	9.040714065	0.736308518	2.940668105
17.55968038	3.860341506	1.312400857	3.271249068
	0.952549624		7.39559433
